
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item Spreadsheet]

April 2020 through March 2020
21/03/2020	Page 1
7:05:24 am
Item No.	Item Name	April	May	June	July	August	September	October	November	December	January	February	March	Total
MET71	Green Metal Rectangle Bucket	5	12	4	6	0	3	5	2	4	5	12	13	71
MET72	Metal Square Bucket 12.5cmH	77	24	20	5	24	37	16	24	12	15	36	25	315
MET73	Metal Jug Grey w/Heart 25.5cmH	2	2	4	8	6	0	22	11	5	5	11	6	82
MET74	Metal Round Bucket 17.5cmH	29	4	7	12	1	7	0	0	0	0	0	0	60
MET75	Metal Round Bucket 15cmH	56	32	21	19	10	28	12	8	20	6	20	20	252
MET76	Metal Square Bucket 15cmH	4	0	22	17	15	9	29	7	6	26	47	16	198
MET77	Metal Rectangle Bucket 14.5cmH	61	0	0	4	6	1	0	0	5	3	2	0	82
MET78	Green Metal Square Bucket	20	24	12	12	2	2	14	0	4	5	6	27	128
MET79	Green Metal Round Bucket 15cmH	10	17	17	17	0	10	4	0	2	2	10	19	108
MET80	Purple Lavende Tin Pot 11cmH	119	168	21	44	33	8	0	0	0	0	0	0	393
MET81	Rose Birdcage Tin Pot 11cmH	140	142	12	15	3	0	0	0	0	0	0	0	312
MET83	Hibiscus Tin Pot 11cmH	56	96	11	18	27	11	49	17	12	0	0	21	318
MET84	Flamingo Tin Pot 11cmH	0	12	15	3	4	0	0	24	1	0	0	27	86
MET85	Love Rose Tin Pot 12cmH	89	45	13	0	16	37	43	20	12	7	31	26	339
MET86	Les Fleurs Tin Pot 12cmH	15	85	5	18	8	20	6	22	11	6	2	50	248
MET87	Lavender Kitchen Tin Pot 12cmH	4	27	6	0	3	6	7	64	1	6	2	23	149
MET88	Purple Lavende Tin Pot 13.5cmH	13	6	10	16	0	7	0	34	11	14	0	13	124
MET89	Mon Jardin Tin Pot 13.5cmH	3	18	3	8	13	12	0	15	7	26	6	13	124
MET90	Les Fleurs Tin Pot 13.5cmH	7	6	0	27	30	2	0	39	1	6	0	44	162
MET91	Flamingo Tin Pot 13.5cmH	0	12	0	8	7	12	0	0	1	5	0	0	45
MET92	Hibiscus Tin Pot 13.5cmH	0	0	3	17	13	22	0	0	0	5	4	2	66
MET93	Birdcage S/3 Tin Pots in Tray	3	11	2	-9	0	4	1	40	5	4	8	14	83
MET94	Love Rose S/3 Tin Pots in Tray	7	21	2	4	2	2	4	5	0	7	12	15	81
MET95	Jardin Botanique Tin Pot 9cmH	7	0	3	19	20	0	0	0	10	0	0	11	70
MET96	Le Jardin Square Tin Pot 9cm	33	85	1	0	16	59	36	31	10	10	15	22	318
MET97	1958 Square Tin Pot 9cmH	1	0	0	2	0	3	19	48	20	30	0	0	123
MET98	Bicycle Square Tin Pot 9cmH	11	35	31	21	9	3	9	1	0	0	0	137	257
MET99	Birdcage Square Tin Pot 12cmH	4	6	16	11	0	0	1	20	0	19	0	17	94
